,input_sentences,onlylabel_preds,onlylabel_gts,preds,gts
590,"republican devin nunes says liberals, antifa are ‘ causing all of these riots ’ because ‘ we're winning ’ - newsweek url",wrong-pred,the model observed classified not offensive,"- newsweek - devin nunes says liberals, antifa are ‘",the model observed classified not offensive
591,"3 days before bbc radio 2 ’ s festival in a day, they decide to tell us that their headline act isn ’ t coming anymore. thanks a lot, now i ’ ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me expressionless face thumbs up light skin tone",wrong-pred,the model observed classified offensive,bbc radio 2 ’ s festival in a day is on th,the model observed classified offensive since the following words showed up shit .
592,tyt live trump needs to go because he is a danger to the country and the world. any way we can get rid of him is good,wrong-pred,the model observed classified offensive,trump needs to go because he is a danger to the country and the world,the model observed classified offensive since the following words showed up  .
593,"constitutional decay isn ’ t an abstraction. it manifests in every debate where words written in 1787 fall short of providing a useful or relevant framework in 2018. it ’ s at the root of issues as diverse as gun control, abortion, data privacy, and healthcare. for instance, 8 /",wrong-pred,the model observed classified not offensive,constitutional decay isn ’ t an abstraction. it manifests in every debate where,the model observed classified not offensive
594,@ user david hogg you're nobody.,wrong-pred,the model observed classified offensive,@ user david hogg you're nobody.,the model observed classified offensive since the following words showed up  .
595,@ user and she is a sweetheart. i hope she gets well soon. be patient and strong mr. capullo.,wrong-pred,the model observed classified not offensive,i am a follower of this site.,the model observed classified not offensive
596,"bbc bias wa to conservatives built more than twice as much council housing as labour, who wrecked the economy and almost bankrupted the country! url",wrong-pred,the model observed classified not offensive,bbc bias wa to conservatives built more than twice as much council housing as labour,the model observed classified not offensive
597,@ user chicago's gun control is so effective it's eliminated crime completely. not.,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
598,11 11 @ user follows me!,wrong-pred,the model observed classified not offensive,11 11 @ user follows me!,the model observed classified not offensive
599,"room 25 is actually incredible, noname is the shit, always has been, and i ’ m seein her in like 5 days in melbourne. life is good. have a nice day.",wrong-pred,the model observed classified not offensive,"noname is the shit, always has been, and i ’",the model observed classified not offensive
